A	B	C	D	term
Human Diseases	Infectious disease: bacterial	Shigellosis	K05740	DIAPH1; diaphanous 1
Human Diseases	Infectious disease: bacterial	Shigellosis	K04514	ROCK1; Rho-associated protein kinase 1 [EC:2.7.11.39]
Human Diseases	Infectious disease: bacterial	Shigellosis	K17388	ROCK2; Rho-associated protein kinase 2 [EC:2.7.11.39]
Human Diseases	Infectious disease: bacterial	Shigellosis	K10351	MYL2; myosin regulatory light chain 2
Human Diseases	Infectious disease: bacterial	Shigellosis	K12753	MYL5; myosin regulatory light chain 5
Human Diseases	Infectious disease: bacterial	Shigellosis	K12754	MYL7; myosin regulatory light chain 7
Human Diseases	Infectious disease: bacterial	Shigellosis	K12755	MYL9; myosin regulatory light chain 9
Human Diseases	Infectious disease: bacterial	Shigellosis	K12756	MYL10; myosin regulatory light chain 10
Human Diseases	Infectious disease: bacterial	Shigellosis	K12757	MYL12; myosin regulatory light chain 12
Human Diseases	Infectious disease: bacterial	Shigellosis	K12758	MYLPF; fast skeletal myosin light chain 2
Human Diseases	Infectious disease: bacterial	Shigellosis	K05699	ACTN1_4; actinin alpha 1/4
Human Diseases	Infectious disease: bacterial	Shigellosis	K06272	ILK; integrin-linked kinase [EC:2.7.11.1]
Human Diseases	Infectious disease: bacterial	Shigellosis	K06271	TLN; talin
Human Diseases	Infectious disease: bacterial	Shigellosis	K05700	VCL; vinculin
Human Diseases	Infectious disease: bacterial	Shigellosis	K04393	CDC42; cell division control protein 42
Human Diseases	Infectious disease: bacterial	Shigellosis	K13284	sipA, ipaA; invasin A
Human Diseases	Infectious disease: bacterial	Shigellosis	K13793	ospE, espO; secreted effector OspE
Human Diseases	Infectious disease: bacterial	Shigellosis	K13790	icsB, bopA; virulence protein IcsB
Human Diseases	Infectious disease: bacterial	Shigellosis	K13743	ipgB2; protein IpgB2
Human Diseases	Infectious disease: bacterial	Shigellosis	K13742	ipgB1; protein IpgB1
Human Diseases	Infectious disease: bacterial	Shigellosis	K12679	icsA, virG; outer membrane protein IcsA
Human Diseases	Infectious disease: bacterial	Shigellosis	K23612	WASL; neural Wiskott-Aldrich syndrome protein
Human Diseases	Infectious disease: bacterial	Shigellosis	K05759	PFN; profilin
Human Diseases	Infectious disease: bacterial	Shigellosis	K13085	ipgD, sopB; phosphatidylinositol-4,5-bisphosphate 4-phosphatase [EC:3.1.3.78]
Human Diseases	Infectious disease: bacterial	Shigellosis	K04361	EGFR, ERBB1; epidermal growth factor receptor [EC:2.7.10.1]
Human Diseases	Infectious disease: bacterial	Shigellosis	K00922	PIK3CA_B_D; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta [EC:2.7.1.153]
Human Diseases	Infectious disease: bacterial	Shigellosis	K02649	PIK3R1_2_3; phosphoinositide-3-kinase regulatory subunit alpha/beta/delta
Human Diseases	Infectious disease: bacterial	Shigellosis	K18441	CYTH; cytohesin
Human Diseases	Infectious disease: bacterial	Shigellosis	K07941	ARF6; ADP-ribosylation factor 6
Human Diseases	Infectious disease: bacterial	Shigellosis	K07937	ARF1_2; ADP-ribosylation factor 1/2
Human Diseases	Infectious disease: bacterial	Shigellosis	K04456	AKT; RAC serine/threonine-protein kinase [EC:2.7.11.1]
Human Diseases	Infectious disease: bacterial	Shigellosis	K07201	FOXO1; forkhead box protein O1
Human Diseases	Infectious disease: bacterial	Shigellosis	K09408	FOXO3; forkhead box protein O3
Human Diseases	Infectious disease: bacterial	Shigellosis	K12358	FOXO4; forkhead box protein O4
Human Diseases	Infectious disease: bacterial	Shigellosis	K17847	FOXO6; forkhead box protein O6
Human Diseases	Infectious disease: bacterial	Shigellosis	K08822	GSK3A; glycogen synthase kinase 3 alpha [EC:2.7.11.26]
Human Diseases	Infectious disease: bacterial	Shigellosis	K03083	GSK3B; glycogen synthase kinase 3 beta [EC:2.7.11.26]
Human Diseases	Infectious disease: bacterial	Shigellosis	K04688	RPS6KB; ribosomal protein S6 kinase beta [EC:2.7.11.1]
Human Diseases	Infectious disease: bacterial	Shigellosis	K06643	MDM2; E3 ubiquitin-protein ligase Mdm2 [EC:2.3.2.27]
Human Diseases	Infectious disease: bacterial	Shigellosis	K05858	PLCB; phosphatidylinositol phospholipase C, beta [EC:3.1.4.11]
Human Diseases	Infectious disease: bacterial	Shigellosis	K05857	PLCD; phosphatidylinositol phospholipase C, delta [EC:3.1.4.11]
Human Diseases	Infectious disease: bacterial	Shigellosis	K05860	PLCE; phosphatidylinositol phospholipase C, epsilon [EC:3.1.4.11]
Human Diseases	Infectious disease: bacterial	Shigellosis	K01116	PLCG1; phosphatidylinositol phospholipase C, gamma-1 [EC:3.1.4.11]
Human Diseases	Infectious disease: bacterial	Shigellosis	K05859	PLCG2; phosphatidylinositol phospholipase C, gamma-2 [EC:3.1.4.11]
Human Diseases	Infectious disease: bacterial	Shigellosis	K05861	PLCZ; phosphatidylinositol phospholipase C, zeta [EC:3.1.4.11]
Human Diseases	Infectious disease: bacterial	Shigellosis	K04958	ITPR1; inositol 1,4,5-triphosphate receptor type 1
Human Diseases	Infectious disease: bacterial	Shigellosis	K04959	ITPR2; inositol 1,4,5-triphosphate receptor type 2
Human Diseases	Infectious disease: bacterial	Shigellosis	K04960	ITPR3; inositol 1,4,5-triphosphate receptor type 3
Human Diseases	Infectious disease: bacterial	Shigellosis	K04281	CAST; calpastatin
Human Diseases	Infectious disease: bacterial	Shigellosis	K01367	CAPN1; calpain-1 [EC:3.4.22.52]
Human Diseases	Infectious disease: bacterial	Shigellosis	K03853	CAPN2; calpain-2 [EC:3.4.22.53]
Human Diseases	Infectious disease: bacterial	Shigellosis	K08583	CAPNS1, CAPN4; calpain, small subunit 1
Human Diseases	Infectious disease: bacterial	Shigellosis	K04728	ATM, TEL1; serine-protein kinase ATM [EC:2.7.11.1]
Human Diseases	Infectious disease: bacterial	Shigellosis	K04451	TP53, P53; tumor protein p53
Human Diseases	Infectious disease: bacterial	Shigellosis	K04570	BCL2L1, bcl-xL; Bcl-2-like 1 (apoptosis regulator Bcl-X)
Human Diseases	Infectious disease: bacterial	Shigellosis	K02161	BCL2; apoptosis regulator Bcl-2
Human Diseases	Infectious disease: bacterial	Shigellosis	K12785	espG, virA; LEE-encoded effector EspG
Human Diseases	Infectious disease: bacterial	Shigellosis	K07345	fimA; major type 1 subunit fimbrin (pilin)
Human Diseases	Infectious disease: bacterial	Shigellosis	K00844	HK; hexokinase [EC:2.7.1.1]
Human Diseases	Infectious disease: bacterial	Shigellosis	K05862	VDAC1; voltage-dependent anion channel protein 1
Human Diseases	Infectious disease: bacterial	Shigellosis	K02159	BAX; apoptosis regulator BAX
Human Diseases	Infectious disease: bacterial	Shigellosis	K08738	CYC; cytochrome c
Human Diseases	Infectious disease: bacterial	Shigellosis	K15464	BNIP3; BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
Human Diseases	Infectious disease: bacterial	Shigellosis	K05864	PPID, CYPD; peptidyl-prolyl isomerase D [EC:5.2.1.8]
Human Diseases	Infectious disease: bacterial	Shigellosis	K04394	CASP4, CASP11; caspase 4 [EC:3.4.22.57 3.4.22.64]
Human Diseases	Infectious disease: bacterial	Shigellosis	K04519	IL1B; interleukin 1 beta
Human Diseases	Infectious disease: bacterial	Shigellosis	K05482	IL18, IL1F4; interleukin 18
Human Diseases	Infectious disease: bacterial	Shigellosis	K03156	TNF, TNFA; tumor necrosis factor superfamily, member 2
Human Diseases	Infectious disease: bacterial	Shigellosis	K03158	TNFRSF1A, TNFR1, CD120a; tumor necrosis factor receptor superfamily member 1A
Human Diseases	Infectious disease: bacterial	Shigellosis	K03171	TRADD; tumor necrosis factor receptor type 1-associated DEATH domain protein
Human Diseases	Infectious disease: bacterial	Shigellosis	K03173	TRAF2; TNF receptor-associated factor 2 [EC:2.3.2.27]
Human Diseases	Infectious disease: bacterial	Shigellosis	K09849	TRAF5; TNF receptor-associated factor 5
Human Diseases	Infectious disease: bacterial	Shigellosis	K02861	RIPK1, RIP1; receptor-interacting serine/threonine-protein kinase 1 [EC:2.7.11.1]
Human Diseases	Infectious disease: bacterial	Shigellosis	K04427	MAP3K7, TAK1; mitogen-activated protein kinase kinase kinase 7 [EC:2.7.11.25]
Human Diseases	Infectious disease: bacterial	Shigellosis	K04403	MAP3K7IP1, TAB1; TAK1-binding protein 1
Human Diseases	Infectious disease: bacterial	Shigellosis	K04404	MAP3K7IP2, TAB2; TAK1-binding protein 2
Human Diseases	Infectious disease: bacterial	Shigellosis	K12793	MAP3K7IP3, TAB3; TAK1-binding protein 3
Human Diseases	Infectious disease: bacterial	Shigellosis	K07210	IKBKG, IKKG, NEMO; inhibitor of nuclear factor kappa-B kinase subunit gamma
Human Diseases	Infectious disease: bacterial	Shigellosis	K04467	IKBKA, IKKA, CHUK; inhibitor of nuclear factor kappa-B kinase subunit alpha [EC:2.7.11.10]
Human Diseases	Infectious disease: bacterial	Shigellosis	K07209	IKBKB, IKKB; inhibitor of nuclear factor kappa-B kinase subunit beta [EC:2.7.11.10]
Human Diseases	Infectious disease: bacterial	Shigellosis	K04734	NFKBIA; NF-kappa-B inhibitor alpha
Human Diseases	Infectious disease: bacterial	Shigellosis	K02581	NFKBIB; NF-kappa-B inhibitor beta
Human Diseases	Infectious disease: bacterial	Shigellosis	K02580	NFKB1; nuclear factor NF-kappa-B p105 subunit
Human Diseases	Infectious disease: bacterial	Shigellosis	K04735	RELA; transcription factor p65
Human Diseases	Infectious disease: bacterial	Shigellosis	K10030	IL8, CXCL8; interleukin 8
Human Diseases	Infectious disease: bacterial	Shigellosis	K23826	TIFA; TRAF-interacting protein with FHA domain-containing protein A
Human Diseases	Infectious disease: bacterial	Shigellosis	K04386	IL1R1, CD121a; interleukin 1 receptor type I
Human Diseases	Infectious disease: bacterial	Shigellosis	K04391	CD14; monocyte differentiation antigen CD14
Human Diseases	Infectious disease: bacterial	Shigellosis	K10160	TLR4, CD284; toll-like receptor 4
Human Diseases	Infectious disease: bacterial	Shigellosis	K02406	fliC, hag; flagellin
Human Diseases	Infectious disease: bacterial	Shigellosis	K10168	TLR5; toll-like receptor 5
Human Diseases	Infectious disease: bacterial	Shigellosis	K03175	TRAF6; TNF receptor-associated factor 6 [EC:2.3.2.27]
Human Diseases	Infectious disease: bacterial	Shigellosis	K06068	PRKCD; novel protein kinase C delta type [EC:2.7.11.13]
Human Diseases	Infectious disease: bacterial	Shigellosis	K18050	PRKCE; novel protein kinase C epsilon type [EC:2.7.11.13]
Human Diseases	Infectious disease: bacterial	Shigellosis	K18052	PRKCQ; novel protein kinase C theta type [EC:2.7.11.13]
Human Diseases	Infectious disease: bacterial	Shigellosis	K07369	MALT1; mucosa-associated lymphoid tissue lymphoma translocation protein 1 [EC:3.4.22.-]
Human Diseases	Infectious disease: bacterial	Shigellosis	K07368	BCL10; B-cell CLL/lymphoma 10
Human Diseases	Infectious disease: bacterial	Shigellosis	K08727	NOD1, CARD4; nucleotide-binding oligomerization domain-containing protein 1
Human Diseases	Infectious disease: bacterial	Shigellosis	K12791	ARHGEF2, GEF-H1; Rho guanine nucleotide exchange factor 2
Human Diseases	Infectious disease: bacterial	Shigellosis	K08846	RIPK2; receptor-interacting serine/threonine-protein kinase 2 [EC:2.7.11.1]
Human Diseases	Infectious disease: bacterial	Shigellosis	K04440	JNK; mitogen-activated protein kinase 8/9/10 (c-Jun N-terminal kinase) [EC:2.7.11.24]
Human Diseases	Infectious disease: bacterial	Shigellosis	K04448	JUN; transcription factor AP-1
Human Diseases	Infectious disease: bacterial	Shigellosis	K23827	ospI; glutamine deamidase
Human Diseases	Infectious disease: bacterial	Shigellosis	K10704	UBE2V; ubiquitin-conjugating enzyme E2 variant
Human Diseases	Infectious disease: bacterial	Shigellosis	K10580	UBE2N, BLU, UBC13; ubiquitin-conjugating enzyme E2 N [EC:2.3.2.23]
Human Diseases	Infectious disease: bacterial	Shigellosis	K23828	ipaH1.4_2.5; E3 ubiquitin-protein ligase IpaH1.4/2.5 [EC:2.3.2.27]
Human Diseases	Infectious disease: bacterial	Shigellosis	K10630	RBCK1, HOIL1; RanBP-type and C3HC4-type zinc finger-containing protein 1 [EC:2.3.2.31]
Human Diseases	Infectious disease: bacterial	Shigellosis	K11974	RNF31, HOIP; E3 ubiquitin-protein ligase RNF31 [EC:2.3.2.31]
Human Diseases	Infectious disease: bacterial	Shigellosis	K20894	SHARPIN; shank-associated RH domain-interacting protein
Human Diseases	Infectious disease: bacterial	Shigellosis	K23654	nleE, ospZ; T3SS secreted effector NleE
Human Diseases	Infectious disease: bacterial	Shigellosis	K23829	TNIP1, ABIN1; TNFAIP3-interacting protein 1
Human Diseases	Infectious disease: bacterial	Shigellosis	K13791	ipaH9.8; invasion plasmid antigen
Human Diseases	Infectious disease: bacterial	Shigellosis	K13792	ospG; secreted effector OspG
Human Diseases	Infectious disease: bacterial	Shigellosis	K06689	UBE2D, UBC4, UBC5; ubiquitin-conjugating enzyme E2 D [EC:2.3.2.23]
Human Diseases	Infectious disease: bacterial	Shigellosis	K03868	RBX1, ROC1; E3 ubiquitin-protein ligase RBX1 [EC:2.3.2.32]
Human Diseases	Infectious disease: bacterial	Shigellosis	K03347	CUL1, CDC53; cullin 1
Human Diseases	Infectious disease: bacterial	Shigellosis	K03094	SKP1, CBF3D; S-phase kinase-associated protein 1
Human Diseases	Infectious disease: bacterial	Shigellosis	K03362	FBXW1_11, BTRC, beta-TRCP; F-box and WD-40 domain protein 1/11
Human Diseases	Infectious disease: bacterial	Shigellosis	K23830	ipaH4.5; E3 ubiquitin-protein ligase IpaH4.5 [EC:2.3.2.27]
Human Diseases	Infectious disease: bacterial	Shigellosis	K23831	ipaH0722; E3 ubiquitin-protein ligase IpaH0722 [EC:2.3.2.27]
Human Diseases	Infectious disease: bacterial	Shigellosis	K17834	CGAS, MB21D1; cyclic GMP-AMP synthase [EC:2.7.7.86]
Human Diseases	Infectious disease: bacterial	Shigellosis	K12654	STING1, TMEM173, MITA; stimulator of interferon genes protein
Human Diseases	Infectious disease: bacterial	Shigellosis	K04729	MYD88; myeloid differentiation primary response protein MyD88
Human Diseases	Infectious disease: bacterial	Shigellosis	K05410	TBK1; TANK-binding kinase 1 [EC:2.7.11.10]
Human Diseases	Infectious disease: bacterial	Shigellosis	K05411	IRF3; interferon regulatory factor 3
Human Diseases	Infectious disease: bacterial	Shigellosis	K05415	IFNB; interferon beta
Human Diseases	Infectious disease: bacterial	Shigellosis	K23832	ipaJ; cysteine protease IpaJ [EC:3.4.22.-]
Human Diseases	Infectious disease: bacterial	Shigellosis	K12836	U2AF1; splicing factor U2AF 35 kDa subunit
Human Diseases	Infectious disease: bacterial	Shigellosis	K12499	CCL5; C-C motif chemokine 5
Human Diseases	Infectious disease: bacterial	Shigellosis	K05427	CSF2, GMCSF; granulocyte-macrophage colony-stimulating factor
Human Diseases	Infectious disease: bacterial	Shigellosis	K04371	ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]
Human Diseases	Infectious disease: bacterial	Shigellosis	K04441	P38; p38 MAP kinase [EC:2.7.11.24]
Human Diseases	Infectious disease: bacterial	Shigellosis	K04445	RPS6KA5, MSK1; ribosomal protein S6 kinase alpha-5 [EC:2.7.11.1]
Human Diseases	Infectious disease: bacterial	Shigellosis	K11253	H3; histone H3
Human Diseases	Infectious disease: bacterial	Shigellosis	K11586	CBX3, HP1G; chromobox protein 3
Human Diseases	Infectious disease: bacterial	Shigellosis	K13450	ospF, mkaD, spvC; phosphothreonine lyase [EC:4.2.3.-]
Human Diseases	Infectious disease: bacterial	Shigellosis	K08334	BECN, VPS30, ATG6; beclin
Human Diseases	Infectious disease: bacterial	Shigellosis	K17889	ATG14L, ATG14; beclin 1-associated autophagy-related key regulator
Human Diseases	Infectious disease: bacterial	Shigellosis	K08333	PIK3R4, VPS15; phosphoinositide-3-kinase, regulatory subunit 4 [EC:2.7.11.1]
Human Diseases	Infectious disease: bacterial	Shigellosis	K00914	PIK3C3, VPS34; phosphatidylinositol 3-kinase [EC:2.7.1.137]
Human Diseases	Infectious disease: bacterial	Shigellosis	K16185	RRAGA_B; Ras-related GTP-binding protein A/B
Human Diseases	Infectious disease: bacterial	Shigellosis	K16186	RRAGC_D; Ras-related GTP-binding protein C/D
Human Diseases	Infectious disease: bacterial	Shigellosis	K07203	MTOR, FRAP, TOR; serine/threonine-protein kinase mTOR [EC:2.7.11.1]
Human Diseases	Infectious disease: bacterial	Shigellosis	K07204	RAPTOR; regulatory associated protein of mTOR
Human Diseases	Infectious disease: bacterial	Shigellosis	K16184	AKT1S1, PRAS40; proline-rich AKT1 substrate 1
Human Diseases	Infectious disease: bacterial	Shigellosis	K17890	ATG16L1; autophagy-related protein 16-1
Human Diseases	Infectious disease: bacterial	Shigellosis	K08339	ATG5; autophagy-related protein 5
Human Diseases	Infectious disease: bacterial	Shigellosis	K08336	ATG12; ubiquitin-like protein ATG12
Human Diseases	Infectious disease: bacterial	Shigellosis	K10435	MAP1LC; microtubule-associated protein 1 light chain
Human Diseases	Infectious disease: bacterial	Shigellosis	K03990	C3; complement component 3
Human Diseases	Infectious disease: bacterial	Shigellosis	K14381	SQSTM1; sequestosome 1
Human Diseases	Infectious disease: bacterial	Shigellosis	K21348	CALCOCO2, NDP52; calcium-binding and coiled-coil domain-containing protein 2
Human Diseases	Infectious disease: bacterial	Shigellosis	K02927	RP-L40e, RPL40, UBA52; ubiquitin-large subunit ribosomal protein L40e
Human Diseases	Infectious disease: bacterial	Shigellosis	K02977	RP-S27Ae, RPS27A, UBA80; ubiquitin-small subunit ribosomal protein S27Ae
Human Diseases	Infectious disease: bacterial	Shigellosis	K04551	UBB; ubiquitin B
Human Diseases	Infectious disease: bacterial	Shigellosis	K08770	UBC; ubiquitin C
Human Diseases	Infectious disease: bacterial	Shigellosis	K16942	SEPT2; septin 2
Human Diseases	Infectious disease: bacterial	Shigellosis	K16938	SEPT3_9_12; septin 3/9/12
Human Diseases	Infectious disease: bacterial	Shigellosis	K16939	SEPT6_8_11; septin 6/8/11
Human Diseases	Infectious disease: bacterial	Shigellosis	K16944	SEPT7, CDC3; septin 7
Human Diseases	Infectious disease: bacterial	Shigellosis	K17908	WIPI1_2, ATG18; autophagy-related protein 18
Human Diseases	Infectious disease: bacterial	Shigellosis	K17988	TECPR1; tectonin beta-propeller repeat-containing protein 1
Human Diseases	Infectious disease: bacterial	Shigellosis	K20121	FNBP1; formin-binding protein 1
Human Diseases	Infectious disease: bacterial	Shigellosis	K13520	icsP, sopA; outer membrane protease [EC:3.4.23.-]
Human Diseases	Infectious disease: bacterial	Shigellosis	K23833	ospC; secreted effector OspC
Human Diseases	Infectious disease: bacterial	Shigellosis	K11006	stxA; shiga toxin subunit A
Human Diseases	Infectious disease: bacterial	Shigellosis	K11007	stxB; shiga toxin subunit B
Human Diseases	Infectious disease: bacterial	Shigellosis	K11011	set1A; enterotoxin Set1A
Human Diseases	Infectious disease: bacterial	Shigellosis	K11012	set1B; enterotoxin Set1B
Human Diseases	Infectious disease: bacterial	Shigellosis	K23345	GLMN; glomulin
Human Diseases	Infectious disease: bacterial	Shigellosis	K12800	NLRP3, PYPAF1; NACHT, LRR and PYD domains-containing protein 3
Human Diseases	Infectious disease: bacterial	Shigellosis	K22487	prgJ; type III secretion system protein
Human Diseases	Infectious disease: bacterial	Shigellosis	K12807	NAIP, BIRC1; baculoviral IAP repeat-containing protein 1
Human Diseases	Infectious disease: bacterial	Shigellosis	K03221	yscF, sctF, ssaG, prgI; type III secretion protein F
Human Diseases	Infectious disease: bacterial	Shigellosis	K12805	NLRC4, CARD12; NLR family CARD domain-containing protein 4
Human Diseases	Infectious disease: bacterial	Shigellosis	K12799	PYCARD, ASC; apoptosis-associated speck-like protein containing a CARD
Human Diseases	Infectious disease: bacterial	Shigellosis	K01370	CASP1; caspase 1 [EC:3.4.22.36]
Human Diseases	Infectious disease: bacterial	Shigellosis	K23834	ipaH7.8; E3 ubiquitin-protein ligase IpaH7.8 [EC:2.3.2.27]
Human Diseases	Infectious disease: bacterial	Yersinia infection	K13735	yeeJ; adhesin/invasin
Human Diseases	Infectious disease: bacterial	Yersinia infection	K12341	yadA; adhesin YadA
Human Diseases	Infectious disease: bacterial	Yersinia infection	K05717	FN1; fibronectin 1
Human Diseases	Infectious disease: bacterial	Yersinia infection	K06483	ITGA4, CD49d; integrin alpha 4
Human Diseases	Infectious disease: bacterial	Yersinia infection	K06484	ITGA5, CD49e; integrin alpha 5
Human Diseases	Infectious disease: bacterial	Yersinia infection	K05719	ITGB1, CD29; integrin beta 1
Human Diseases	Infectious disease: bacterial	Yersinia infection	K07863	RHOG; Ras homolog gene family, member G
Human Diseases	Infectious disease: bacterial	Yersinia infection	K05704	SRC; tyrosine-protein kinase Src [EC:2.7.10.2]
Human Diseases	Infectious disease: bacterial	Yersinia infection	K05725	PTK2, FAK; focal adhesion kinase 1 [EC:2.7.10.2]
Human Diseases	Infectious disease: bacterial	Yersinia infection	K05871	PTK2B, FAK2; focal adhesion kinase 2 [EC:2.7.10.2]
Human Diseases	Infectious disease: bacterial	Yersinia infection	K04438	CRK, CRKII; C-crk adapter molecule crk
Human Diseases	Infectious disease: bacterial	Yersinia infection	K05726	BCAR1, CAS; breast cancer anti-estrogen resistance 1
Human Diseases	Infectious disease: bacterial	Yersinia infection	K12366	ELMO1, CED12; engulfment and cell motility protein 1
Human Diseases	Infectious disease: bacterial	Yersinia infection	K18985	ELMO2, CED12A; engulfment and cell motility protein 2
Human Diseases	Infectious disease: bacterial	Yersinia infection	K13708	DOCK1; dedicator of cytokinesis protein 1
Human Diseases	Infectious disease: bacterial	Yersinia infection	K06856	IGH; immunoglobulin heavy chain
Human Diseases	Infectious disease: bacterial	Yersinia infection	K06472	FCGR2A, CD32; low affinity immunoglobulin gamma Fc receptor II-a
Human Diseases	Infectious disease: bacterial	Yersinia infection	K04392	RAC1; Ras-related C3 botulinum toxin substrate 1
Human Diseases	Infectious disease: bacterial	Yersinia infection	K07860	RAC2; Ras-related C3 botulinum toxin substrate 2
Human Diseases	Infectious disease: bacterial	Yersinia infection	K07861	RAC3; Ras-related C3 botulinum toxin substrate 3
Human Diseases	Infectious disease: bacterial	Yersinia infection	K00889	PIP5K; 1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]
Human Diseases	Infectious disease: bacterial	Yersinia infection	K07941	ARF6; ADP-ribosylation factor 6
Human Diseases	Infectious disease: bacterial	Yersinia infection	K23612	WASL; neural Wiskott-Aldrich syndrome protein
Human Diseases	Infectious disease: bacterial	Yersinia infection	K17260	ACTR2, ARP2; actin-related protein 2
Human Diseases	Infectious disease: bacterial	Yersinia infection	K18584	ACTR3, ARP3; actin-related protein 3
Human Diseases	Infectious disease: bacterial	Yersinia infection	K05757	ARPC1A_B; actin related protein 2/3 complex, subunit 1A/1B
Human Diseases	Infectious disease: bacterial	Yersinia infection	K05758	ARPC2; actin related protein 2/3 complex, subunit 2
Human Diseases	Infectious disease: bacterial	Yersinia infection	K05756	ARPC3; actin related protein 2/3 complex, subunit 3
Human Diseases	Infectious disease: bacterial	Yersinia infection	K05755	ARPC4; actin related protein 2/3 complex, subunit 4
Human Diseases	Infectious disease: bacterial	Yersinia infection	K05754	ARPC5; actin related protein 2/3 complex, subunit 5
Human Diseases	Infectious disease: bacterial	Yersinia infection	K05692	ACTB_G1; actin beta/gamma 1
Human Diseases	Infectious disease: bacterial	Yersinia infection	K19475	WIPF; WAS/WASL-interacting protein
Human Diseases	Infectious disease: bacterial	Yersinia infection	K05627	BAIAP2, IRSP53; BAI1-associated protein 2
Human Diseases	Infectious disease: bacterial	Yersinia infection	K05748	WASF2; WAS protein family, member 2
Human Diseases	Infectious disease: bacterial	Yersinia infection	K05760	PXN; paxillin
Human Diseases	Infectious disease: bacterial	Yersinia infection	K12487	GIT2; G protein-coupled receptor kinase interactor 2
Human Diseases	Infectious disease: bacterial	Yersinia infection	K13710	ARHGEF7, PIXB; Rho guanine nucleotide exchange factor 7
Human Diseases	Infectious disease: bacterial	Yersinia infection	K04393	CDC42; cell division control protein 42
Human Diseases	Infectious disease: bacterial	Yersinia infection	K05747	WAS; Wiskott-Aldrich syndrome protein
Human Diseases	Infectious disease: bacterial	Yersinia infection	K04634	GNAQ; guanine nucleotide-binding protein G(q) subunit alpha
Human Diseases	Infectious disease: bacterial	Yersinia infection	K07532	ARHGEF12, LARG; Rho guanine nucleotide exchange factor 12
Human Diseases	Infectious disease: bacterial	Yersinia infection	K12330	ARHGEF1; Rho guanine nucleotide exchange factor 1
Human Diseases	Infectious disease: bacterial	Yersinia infection	K21072	ARHGEF28; A-kinase anchor protein 28
Human Diseases	Infectious disease: bacterial	Yersinia infection	K04513	RHOA; Ras homolog gene family, member A
Human Diseases	Infectious disease: bacterial	Yersinia infection	K04514	ROCK1; Rho-associated protein kinase 1 [EC:2.7.11.39]
Human Diseases	Infectious disease: bacterial	Yersinia infection	K17388	ROCK2; Rho-associated protein kinase 2 [EC:2.7.11.39]
Human Diseases	Infectious disease: bacterial	Yersinia infection	K17698	FYB, ADAP; FYN binding protein
Human Diseases	Infectious disease: bacterial	Yersinia infection	K23471	SKAP2; src kinase-associated phosphoprotein 2
Human Diseases	Infectious disease: bacterial	Yersinia infection	K23472	ypkA, yopO; serine/threonine protein kinase YpkA [EC:2.7.11.1]
Human Diseases	Infectious disease: bacterial	Yersinia infection	K08599	yopT; YopT peptidase [EC:3.4.22.-]
Human Diseases	Infectious disease: bacterial	Yersinia infection	K23473	yopE; outer membrane virulence protein YopE
Human Diseases	Infectious disease: bacterial	Yersinia infection	K23474	yopH; tyrosine-protein phosphatase YopH [EC:3.1.3.48]
Human Diseases	Infectious disease: bacterial	Yersinia infection	K23475	yopB, popB, aopB; transloator
Human Diseases	Infectious disease: bacterial	Yersinia infection	K23476	yopD, popD, aopD; transloator
Human Diseases	Infectious disease: bacterial	Yersinia infection	K12800	NLRP3, PYPAF1; NACHT, LRR and PYD domains-containing protein 3
Human Diseases	Infectious disease: bacterial	Yersinia infection	K12805	NLRC4, CARD12; NLR family CARD domain-containing protein 4
Human Diseases	Infectious disease: bacterial	Yersinia infection	K06071	PKN1; serine/threonine-protein kinase N1 [EC:2.7.11.13]
Human Diseases	Infectious disease: bacterial	Yersinia infection	K23691	PKN2; serine/threonine-protein kinase N2 [EC:2.7.11.13]
Human Diseases	Infectious disease: bacterial	Yersinia infection	K04373	RPS6KA; ribosomal protein S6 kinase alpha-1/2/3/6 [EC:2.7.11.1]
Human Diseases	Infectious disease: bacterial	Yersinia infection	K12803	MEFV; pyrin
Human Diseases	Infectious disease: bacterial	Yersinia infection	K05743	LIMK1; LIM domain kinase 1 [EC:2.7.11.1]
Human Diseases	Infectious disease: bacterial	Yersinia infection	K12799	PYCARD, ASC; apoptosis-associated speck-like protein containing a CARD
Human Diseases	Infectious disease: bacterial	Yersinia infection	K01370	CASP1; caspase 1 [EC:3.4.22.36]
Human Diseases	Infectious disease: bacterial	Yersinia infection	K05482	IL18, IL1F4; interleukin 18
Human Diseases	Infectious disease: bacterial	Yersinia infection	K04519	IL1B; interleukin 1 beta
Human Diseases	Infectious disease: bacterial	Yersinia infection	K23477	yopQ, yopK; protein YopQ
Human Diseases	Infectious disease: bacterial	Yersinia infection	K23478	yopM; outer membrane protein YopM
Human Diseases	Infectious disease: bacterial	Yersinia infection	K10160	TLR4, CD284; toll-like receptor 4
Human Diseases	Infectious disease: bacterial	Yersinia infection	K04729	MYD88; myeloid differentiation primary response protein MyD88
Human Diseases	Infectious disease: bacterial	Yersinia infection	K04733	IRAK4; interleukin-1 receptor-associated kinase 4 [EC:2.7.11.1]
